FP2 - F4,F4 - C4,C4 - P4,P4 - O2,FP2 - F8,F8 - T4,T4 - T6,T6 - O2,FP1 - F3,F3 - C3,C3 - P3,P3 - O1,FP1 - F7,F7 - T3,T3 - T5,T5 - O1
359.0,-170.0,-626.0,507.0,-117.0,147.0,71.0,-30.0,319.0,-486.0,169.0,1.0,-456.0,685.0,-420.0,194.0
329.0,-134.0,-648.0,502.0,-133.0,156.0,35.0,-9.0,298.0,-412.0,117.0,-10.0,-377.0,565.0,-403.0,207.0
337.0,-68.0,-658.0,492.0,-90.0,196.0,-56.0,52.0,413.0,-393.0,112.0,-67.0,-216.0,454.0,-367.0,195.0
375.0,-14.0,-638.0,473.0,-13.0,242.0,-146.0,113.0,551.0,-434.0,157.0,-132.0,-149.0,461.0,-300.0,131.0
400.0,13.0,-618.0,461.0,42.0,267.0,-192.0,139.0,632.0,-514.0,229.0,-183.0,-202.0,553.0,-213.0,27.0
385.0,2.0,-620.0,471.0,29.0,260.0,-168.0,117.0,644.0,-591.0,288.0,-196.0,-264.0,619.0,-176.0,-35.0
350.0,-55.0,-632.0,497.0,-42.0,223.0,-81.0,60.0,596.0,-622.0,293.0,-151.0,-265.0,616.0,-256.0,21.0
333.0,-133.0,-634.0,519.0,-113.0,178.0,20.0,-1.0,504.0,-582.0,236.0,-66.0,-255.0,593.0,-406.0,160.0
345.0,-171.0,-636.0,523.0,-127.0,151.0,67.0,-29.0,407.0,-495.0,155.0,-1.0,-294.0,589.0,-488.0,259.0
362.0,-137.0,-648.0,514.0,-88.0,161.0,24.0,-7.0,362.0,-420.0,105.0,-4.0,-352.0,587.0,-428.0,236.0
363.0,-67.0,-657.0,499.0,-42.0,200.0,-73.0,53.0,396.0,-405.0,108.0,-58.0,-352.0,561.0,-304.0,136.0
354.0,-9.0,-645.0,482.0,-12.0,246.0,-164.0,112.0,498.0,-452.0,157.0,-124.0,-264.0,516.0,-226.0,53.0
360.0,15.0,-626.0,469.0,12.0,276.0,-205.0,136.0,626.0,-532.0,228.0,-172.0,-150.0,492.0,-215.0,24.0
