FP2 - F4,F4 - C4,C4 - P4,P4 - O2,FP2 - F8,F8 - T4,T4 - T6,T6 - O2,FP1 - F3,F3 - C3,C3 - P3,P3 - O1,FP1 - F7,F7 - T3,T3 - T5,T5 - O1
34.0,-78.0,-124.0,11.0,-207.0,121.0,-90.0,20.0,68.0,-1394.0,1011.0,136.0,-231.0,-1045.0,1117.0,-21.0
-8.0,-89.0,-86.0,-8.0,-211.0,65.0,-69.0,26.0,115.0,-1445.0,1034.0,144.0,-213.0,-1013.0,1067.0,7.0
-3.0,-120.0,-71.0,-19.0,-239.0,45.0,-20.0,2.0,146.0,-1445.0,990.0,166.0,-232.0,-955.0,999.0,44.0
41.0,-158.0,-72.0,-10.0,-253.0,54.0,29.0,-29.0,135.0,-1384.0,907.0,183.0,-276.0,-894.0,944.0,66.0
91.0,-184.0,-73.0,17.0,-222.0,68.0,42.0,-37.0,80.0,-1275.0,833.0,178.0,-310.0,-854.0,923.0,57.0
117.0,-177.0,-79.0,39.0,-166.0,81.0,6.0,-21.0,15.0,-1149.0,785.0,154.0,-302.0,-848.0,931.0,24.0
114.0,-127.0,-105.0,41.0,-132.0,102.0,-50.0,1.0,-15.0,-1066.0,768.0,128.0,-253.0,-867.0,948.0,-13.0
79.0,-59.0,-136.0,25.0,-144.0,124.0,-87.0,17.0,2.0,-1071.0,794.0,109.0,-198.0,-891.0,958.0,-35.0
23.0,-23.0,-134.0,4.0,-189.0,122.0,-89.0,26.0,45.0,-1147.0,854.0,99.0,-167.0,-891.0,944.0,-34.0
-19.0,-58.0,-84.0,-17.0,-223.0,87.0,-61.0,20.0,91.0,-1217.0,890.0,101.0,-168.0,-850.0,894.0,-12.0
-13.0,-142.0,-17.0,-30.0,-218.0,35.0,-13.0,-7.0,118.0,-1217.0,850.0,118.0,-195.0,-780.0,820.0,22.0
31.0,-206.0,14.0,-23.0,-188.0,3.0,38.0,-36.0,105.0,-1147.0,757.0,137.0,-239.0,-714.0,762.0,44.0
78.0,-202.0,-11.0,4.0,-164.0,20.0,56.0,-44.0,53.0,-1040.0,674.0,140.0,-274.0,-681.0,745.0,38.0
104.0,-150.0,-67.0,30.0,-155.0,78.0,22.0,-29.0,-7.0,-933.0,632.0,123.0,-271.0,-686.0,765.0,7.0
103.0,-99.0,-105.0,37.0,-148.0,128.0,-40.0,-5.0,-34.0,-866.0,629.0,96.0,-223.0,-719.0,797.0,-31.0
74.0,-71.0,-103.0,28.0,-136.0,131.0,-88.0,21.0,-15.0,-876.0,664.0,73.0,-162.0,-752.0,818.0,-57.0
24.0,-60.0,-75.0,12.0,-142.0,95.0,-97.0,45.0,32.0,-948.0,720.0,63.0,-125.0,-757.0,808.0,-59.0
-13.0,-72.0,-43.0,-9.0,-172.0,54.0,-69.0,50.0,78.0,-1018.0,752.0,69.0,-123.0,-720.0,758.0,-33.0
-3.0,-117.0,-14.0,-27.0,-196.0,26.0,-17.0,26.0,104.0,-1025.0,717.0,89.0,-146.0,-656.0,682.0,6.0
40.0,-177.0,13.0,-24.0,-183.0,8.0,37.0,-9.0,93.0,-964.0,636.0,113.0,-186.0,-594.0,621.0,35.0
79.0,-201.0,14.0,4.0,-143.0,8.0,58.0,-26.0,44.0,-865.0,558.0,124.0,-221.0,-561.0,605.0,37.0
92.0,-159.0,-30.0,37.0,-108.0,38.0,24.0,-14.0,-13.0,-763.0,515.0,115.0,-222.0,-566.0,629.0,13.0
83.0,-74.0,-99.0,51.0,-96.0,88.0,-44.0,13.0,-40.0,-703.0,514.0,92.0,-181.0,-599.0,664.0,-20.0
51.0,-2.0,-138.0,42.0,-104.0,115.0,-99.0,41.0,-24.0,-719.0,558.0,67.0,-127.0,-632.0,683.0,-43.0
3.0,16.0,-113.0,15.0,-117.0,93.0,-113.0,58.0,17.0,-793.0,628.0,49.0,-88.0,-634.0,670.0,-46.0
-30.0,-14.0,-38.0,-44.0,-101.0,32.0,-94.0,36.0,58.0,-861.0,694.0,44.0,-61.0,-597.0,611.0,-17.0
-24.0,-47.0,48.0,-148.0,-25.0,-36.0,-68.0,-45.0,81.0,-875.0,735.0,51.0,-28.0,-537.0,512.0,44.0
-1.0,-38.0,107.0,-274.0,90.0,-77.0,-56.0,-163.0,83.0,-843.0,762.0,57.0,19.0,-479.0,402.0,117.0
13.0,18.0,129.0,-380.0,196.0,-71.0,-73.0,-271.0,67.0,-782.0,795.0,48.0,78.0,-437.0,306.0,181.0
23.0,84.0,124.0,-442.0,262.0,-23.0,-120.0,-330.0,45.0,-698.0,821.0,28.0,152.0,-409.0,222.0,233.0
39.0,118.0,105.0,-452.0,277.0,43.0,-179.0,-330.0,34.0,-615.0,826.0,7.0,230.0,-396.0,147.0,271.0
