FP2 - F4,F4 - C4,C4 - P4,P4 - O2,FP2 - F8,F8 - T4,T4 - T6,T6 - O2,FP1 - F3,F3 - C3,C3 - P3,P3 - O1,FP1 - F7,F7 - T3,T3 - T5,T5 - O1
297.0,112.0,-409.0,409.0,223.0,-223.0,111.0,297.0,74.0,0.0,37.0,-148.0,-74.0,260.0,-37.0,-185.0
75.0,297.0,-222.0,334.0,446.0,-408.0,260.0,186.0,-37.0,-334.0,334.0,-112.0,74.0,-186.0,335.0,-372.0
297.0,297.0,-408.0,334.0,334.0,-37.0,-74.0,297.0,186.0,37.0,186.0,-261.0,706.0,-483.0,186.0,-260.0
223.0,112.0,-260.0,-37.0,186.0,112.0,-260.0,0.0,112.0,445.0,-185.0,-224.0,446.0,-149.0,-111.0,-37.0
223.0,-223.0,74.0,-297.0,186.0,-149.0,38.0,-298.0,-74.0,520.0,-519.0,185.0,-38.0,557.0,-706.0,297.0
149.0,-148.0,74.0,-148.0,298.0,-669.0,409.0,-111.0,-223.0,112.0,-371.0,334.0,-261.0,483.0,-669.0,297.0
0.0,37.0,-186.0,298.0,260.0,-742.0,594.0,37.0,-112.0,-223.0,112.0,74.0,111.0,-37.0,-37.0,-186.0
112.0,334.0,-743.0,594.0,298.0,-482.0,371.0,112.0,-112.0,-75.0,409.0,-149.0,223.0,-446.0,521.0,-223.0
223.0,334.0,-743.0,632.0,260.0,-223.0,148.0,261.0,-370.0,371.0,149.0,-297.0,74.0,-259.0,297.0,-260.0
74.0,185.0,-222.0,371.0,223.0,-112.0,-73.0,370.0,-222.0,74.0,149.0,-37.0,-74.0,36.0,-110.0,111.0
112.0,37.0,-223.0,334.0,149.0,-1.0,-73.0,186.0,-36.0,0.0,186.0,-111.0,38.0,73.0,-147.0,74.0
37.0,112.0,-186.0,186.0,186.0,-37.0,-74.0,75.0,-111.0,0.0,223.0,-223.0,-37.0,0.0,0.0,-74.0
149.0,37.0,-75.0,75.0,223.0,-111.0,111.0,-36.0,0.0,-36.0,148.0,-148.0,0.0,38.0,-111.0,37.0
260.0,37.0,-186.0,148.0,297.0,-185.0,111.0,37.0,-1.0,-73.0,37.0,0.0,-74.0,185.0,-222.0,74.0
0.0,186.0,-186.0,149.0,148.0,-148.0,112.0,37.0,-37.0,37.0,-36.0,36.0,0.0,0.0,-37.0,37.0
38.0,260.0,-409.0,371.0,149.0,-74.0,-111.0,296.0,-148.0,74.0,-36.0,111.0,-73.0,-148.0,222.0,0.0
149.0,112.0,-334.0,334.0,112.0,-75.0,-73.0,296.0,37.0,111.0,-37.0,-74.0,-74.0,296.0,-74.0,-111.0
-111.0,334.0,-75.0,372.0,408.0,-334.0,297.0,149.0,-75.0,-222.0,297.0,-37.0,37.0,-185.0,445.0,-334.0
111.0,297.0,-297.0,483.0,260.0,185.0,-74.0,223.0,260.0,-74.0,556.0,-520.0,668.0,-556.0,222.0,-111.0
148.0,112.0,-223.0,149.0,149.0,371.0,-260.0,-75.0,260.0,259.0,149.0,-557.0,408.0,-223.0,-74.0,0.0
260.0,-148.0,0.0,-111.0,186.0,36.0,75.0,-297.0,37.0,371.0,-296.0,-1.0,-74.0,556.0,-630.0,260.0
223.0,-111.0,36.0,-36.0,224.0,-409.0,223.0,74.0,-186.0,37.0,-334.0,222.0,-408.0,519.0,-631.0,260.0
-37.0,75.0,-1.0,186.0,149.0,-445.0,334.0,186.0,-112.0,-296.0,111.0,74.0,-74.0,-75.0,111.0,-185.0
-37.0,482.0,-557.0,446.0,223.0,-260.0,73.0,298.0,-1.0,-370.0,593.0,-185.0,-37.0,-261.0,631.0,-297.0
149.0,371.0,-631.0,594.0,334.0,-297.0,75.0,372.0,-74.0,74.0,334.0,-260.0,0.0,38.0,297.0,-260.0
37.0,37.0,0.0,111.0,148.0,-111.0,37.0,111.0,-37.0,37.0,74.0,0.0,0.0,-37.0,111.0,0.0
